Route Index: 0 - Episode: 18 - 0h, 3m, 16s - Average Reward -38.158 - Average IR 0.502 - Epsilon: 0.826
Route Index: 2 - Episode: 17 - 0h, 3m, 10s - Average Reward -37.595 - Average IR 0.5 - Epsilon: 0.835
Route Index: 4 - Episode: 16 - 0h, 3m, 0s - Average Reward -37.513 - Average IR 0.499 - Epsilon: 0.843
Route Index: 1 - Episode: 18 - 0h, 3m, 19s - Average Reward -37.904 - Average IR 0.501 - Epsilon: 0.826
Route Index: 3 - Episode: 17 - 0h, 3m, 11s - Average Reward -38.093 - Average IR 0.505 - Epsilon: 0.835
Route Index: 0 - Episode: 19 - 0h, 3m, 27s - Average Reward -38.144 - Average IR 0.502 - Epsilon: 0.818
Route Index: 2 - Episode: 18 - 0h, 3m, 21s - Average Reward -37.576 - Average IR 0.499 - Epsilon: 0.826
Route Index: 4 - Episode: 17 - 0h, 3m, 11s - Average Reward -37.519 - Average IR 0.502 - Epsilon: 0.835
Route Index: 1 - Episode: 19 - 0h, 3m, 29s - Average Reward -37.936 - Average IR 0.501 - Epsilon: 0.818
Route Index: 3 - Episode: 18 - 0h, 3m, 21s - Average Reward -37.977 - Average IR 0.505 - Epsilon: 0.826
Route Index: 0 - Episode: 20 - 0h, 3m, 38s - Average Reward -38.199 - Average IR 0.502 - Epsilon: 0.81
Route Index: 2 - Episode: 19 - 0h, 3m, 32s - Average Reward -37.562 - Average IR 0.499 - Epsilon: 0.818
Route Index: 4 - Episode: 18 - 0h, 3m, 21s - Average Reward -37.521 - Average IR 0.502 - Epsilon: 0.826
Route Index: 1 - Episode: 20 - 0h, 3m, 40s - Average Reward -37.983 - Average IR 0.501 - Epsilon: 0.81
Route Index: 3 - Episode: 19 - 0h, 3m, 32s - Average Reward -38.047 - Average IR 0.504 - Epsilon: 0.818
Route Index: 0 - Episode: 21 - 0h, 3m, 48s - Average Reward -38.097 - Average IR 0.502 - Epsilon: 0.802
Route Index: 2 - Episode: 20 - 0h, 3m, 42s - Average Reward -37.593 - Average IR 0.499 - Epsilon: 0.81
Route Index: 4 - Episode: 19 - 0h, 3m, 32s - Average Reward -37.588 - Average IR 0.502 - Epsilon: 0.818
Route Index: 1 - Episode: 21 - 0h, 3m, 51s - Average Reward -37.913 - Average IR 0.501 - Epsilon: 0.802
Route Index: 3 - Episode: 20 - 0h, 3m, 42s - Average Reward -38.047 - Average IR 0.504 - Epsilon: 0.81
Route Index: 0 - Episode: 22 - 0h, 3m, 59s - Average Reward -38.186 - Average IR 0.502 - Epsilon: 0.794
Route Index: 2 - Episode: 21 - 0h, 3m, 53s - Average Reward -37.613 - Average IR 0.499 - Epsilon: 0.802
Route Index: 4 - Episode: 20 - 0h, 3m, 43s - Average Reward -37.487 - Average IR 0.501 - Epsilon: 0.81
Route Index: 1 - Episode: 22 - 0h, 4m, 1s - Average Reward -37.942 - Average IR 0.501 - Epsilon: 0.794
Route Index: 3 - Episode: 21 - 0h, 3m, 53s - Average Reward -38.053 - Average IR 0.504 - Epsilon: 0.802
Route Index: 0 - Episode: 23 - 0h, 4m, 10s - Average Reward -38.149 - Average IR 0.502 - Epsilon: 0.786
Route Index: 2 - Episode: 22 - 0h, 4m, 4s - Average Reward -37.568 - Average IR 0.499 - Epsilon: 0.794
Route Index: 4 - Episode: 21 - 0h, 3m, 53s - Average Reward -37.477 - Average IR 0.502 - Epsilon: 0.802
Route Index: 1 - Episode: 23 - 0h, 4m, 12s - Average Reward -37.955 - Average IR 0.501 - Epsilon: 0.786
Route Index: 3 - Episode: 22 - 0h, 4m, 4s - Average Reward -38.071 - Average IR 0.505 - Epsilon: 0.794
Route Index: 0 - Episode: 24 - 0h, 4m, 20s - Average Reward -38.058 - Average IR 0.502 - Epsilon: 0.778
Route Index: 2 - Episode: 23 - 0h, 4m, 15s - Average Reward -37.558 - Average IR 0.499 - Epsilon: 0.786
Route Index: 4 - Episode: 22 - 0h, 4m, 4s - Average Reward -37.535 - Average IR 0.502 - Epsilon: 0.794
Route Index: 1 - Episode: 24 - 0h, 4m, 22s - Average Reward -37.9 - Average IR 0.501 - Epsilon: 0.778
Route Index: 3 - Episode: 23 - 0h, 4m, 14s - Average Reward -38.063 - Average IR 0.505 - Epsilon: 0.786
Route Index: 0 - Episode: 25 - 0h, 4m, 31s - Average Reward -38.191 - Average IR 0.501 - Epsilon: 0.77
Route Index: 2 - Episode: 24 - 0h, 4m, 25s - Average Reward -37.506 - Average IR 0.499 - Epsilon: 0.778
Route Index: 4 - Episode: 23 - 0h, 4m, 15s - Average Reward -37.51 - Average IR 0.502 - Epsilon: 0.786
Route Index: 1 - Episode: 25 - 0h, 4m, 33s - Average Reward -38.023 - Average IR 0.5 - Epsilon: 0.77
Route Index: 3 - Episode: 24 - 0h, 4m, 25s - Average Reward -37.988 - Average IR 0.504 - Epsilon: 0.778
Route Index: 0 - Episode: 26 - 0h, 4m, 41s - Average Reward -38.147 - Average IR 0.504 - Epsilon: 0.762
Route Index: 2 - Episode: 25 - 0h, 4m, 36s - Average Reward -37.467 - Average IR 0.498 - Epsilon: 0.77
Route Index: 4 - Episode: 24 - 0h, 4m, 25s - Average Reward -37.558 - Average IR 0.501 - Epsilon: 0.778
Route Index: 1 - Episode: 26 - 0h, 4m, 44s - Average Reward -37.967 - Average IR 0.503 - Epsilon: 0.762
Route Index: 3 - Episode: 25 - 0h, 4m, 37s - Average Reward -38.025 - Average IR 0.504 - Epsilon: 0.77
Route Index: 0 - Episode: 27 - 0h, 4m, 52s - Average Reward -38.167 - Average IR 0.5 - Epsilon: 0.755
Route Index: 2 - Episode: 26 - 0h, 4m, 47s - Average Reward -37.496 - Average IR 0.501 - Epsilon: 0.762
Route Index: 4 - Episode: 25 - 0h, 4m, 36s - Average Reward -37.537 - Average IR 0.501 - Epsilon: 0.77
Route Index: 1 - Episode: 27 - 0h, 4m, 55s - Average Reward -37.836 - Average IR 0.499 - Epsilon: 0.755
Route Index: 3 - Episode: 26 - 0h, 4m, 47s - Average Reward -37.986 - Average IR 0.506 - Epsilon: 0.762
Route Index: 0 - Episode: 28 - 0h, 5m, 3s - Average Reward -38.153 - Average IR 0.5 - Epsilon: 0.747
Route Index: 2 - Episode: 27 - 0h, 4m, 58s - Average Reward -37.43 - Average IR 0.497 - Epsilon: 0.755
Route Index: 4 - Episode: 26 - 0h, 4m, 47s - Average Reward -37.491 - Average IR 0.503 - Epsilon: 0.762
Route Index: 1 - Episode: 28 - 0h, 5m, 5s - Average Reward -37.834 - Average IR 0.499 - Epsilon: 0.747
Route Index: 3 - Episode: 27 - 0h, 4m, 58s - Average Reward -37.953 - Average IR 0.503 - Epsilon: 0.755
Route Index: 0 - Episode: 29 - 0h, 5m, 14s - Average Reward -38.095 - Average IR 0.502 - Epsilon: 0.74
Route Index: 2 - Episode: 28 - 0h, 5m, 8s - Average Reward -37.577 - Average IR 0.497 - Epsilon: 0.747
Route Index: 4 - Episode: 27 - 0h, 4m, 58s - Average Reward -37.505 - Average IR 0.5 - Epsilon: 0.755
Route Index: 1 - Episode: 29 - 0h, 5m, 16s - Average Reward -37.865 - Average IR 0.501 - Epsilon: 0.74
Route Index: 3 - Episode: 28 - 0h, 5m, 8s - Average Reward -37.918 - Average IR 0.503 - Epsilon: 0.747
Route Index: 0 - Episode: 30 - 0h, 5m, 24s - Average Reward -38.145 - Average IR 0.504 - Epsilon: 0.732
Route Index: 2 - Episode: 29 - 0h, 5m, 18s - Average Reward -37.529 - Average IR 0.499 - Epsilon: 0.74
Route Index: 4 - Episode: 28 - 0h, 5m, 8s - Average Reward -37.506 - Average IR 0.5 - Epsilon: 0.747
